sciname,FeedingType,Trophic.group,Water.column,Diel.Activity,Habitat,Trophic.Level,genus.x,species.x,sciname2,class,cohort,family,genus.y,infraclass,infraorder,kingdom,order,phylum,species.y,subclass,subfamily,subgenus,suborder,subphylum,subtribe,superclass,superfamily,superkingdom,superorder,tribe
Sparus sp.,NA,NA,NA,NA,NA,NA,Sparus,,Sparus ,Actinopteri,NA,Sparidae,Sparus,Teleostei,NA,Metazoa,Spariformes,Chordata,NA,Neopterygii,NA,NA,NA,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Sphyraena borealis,NA,NA,NA,NA,NA,4.1,Sphyraena,borealis,Sphyraena borealis,Actinopteri,NA,Sphyraenidae,Sphyraena,Teleostei,NA,Metazoa,NA,Chordata,Sphyraena borealis,Neopterygii,NA,NA,NA,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Sphyraena obtusata,hunting macrofauna (predator),Higher carnivore,pelagic non-site attached,Day,coral,4.5,Sphyraena,obtusata,Sphyraena obtusata,Actinopteri,NA,Sphyraenidae,Sphyraena,Teleostei,NA,Metazoa,NA,Chordata,Sphyraena obtusata,Neopterygii,NA,NA,NA,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Spinachia spinachia,hunting macrofauna (predator),planktivore,benthic,Day,rock,3.5,Spinachia,spinachia,Spinachia spinachia,Actinopteri,NA,Gasterosteidae,Spinachia,Teleostei,Gasterosteales,Metazoa,Perciformes,Chordata,Spinachia spinachia,Neopterygii,NA,NA,Cottioidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Sprattus sprattus,selective plankton feeding,NA,NA,NA,NA,3.01,Sprattus,sprattus,Sprattus sprattus,Actinopteri,NA,Clupeidae,Sprattus,Teleostei,NA,Metazoa,Clupeiformes,Chordata,Sprattus sprattus,Neopterygii,Clupeinae,NA,Clupeoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Stephanolepis hispidus,grazing on aquatic plants,NA,NA,NA,NA,2.56,Stephanolepis,hispidus,Stephanolepis hispidus,Actinopteri,NA,Monacanthidae,Stephanolepis,Teleostei,NA,Metazoa,Tetraodontiformes,Chordata,Stephanolepis hispidus,Neopterygii,NA,NA,NA,Craniata,NA,Actinopterygii,Balistoidea,Eukaryota,NA,NA
Stigmatopora argus,NA,NA,NA,NA,NA,NA,Stigmatopora,argus,Stigmatopora argus,Actinopteri,NA,Syngnathidae,Stigmatopora,Teleostei,NA,Metazoa,Syngnathiformes,Chordata,Stigmatopora argus,Neopterygii,Syngnathinae,NA,Syngnathoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Strongylura exilis,hunting macrofauna (predator),NA,NA,NA,NA,4.5,Strongylura,exilis,Strongylura exilis,Actinopteri,NA,Belonidae,Strongylura,Teleostei,NA,Metazoa,Beloniformes,Chordata,Strongylura exilis,Neopterygii,NA,NA,Belonoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,Atherinomorphae,NA
Strongylura marina,hunting macrofauna (predator),NA,NA,NA,NA,3,Strongylura,marina,Strongylura marina,Actinopteri,NA,Belonidae,Strongylura,Teleostei,NA,Metazoa,Beloniformes,Chordata,Strongylura marina,Neopterygii,NA,NA,Belonoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,Atherinomorphae,NA
Symphodus melops,hunting macrofauna (predator),NA,NA,NA,NA,3.38,Symphodus,melops,Symphodus melops,Actinopteri,NA,Labridae,Symphodus,Teleostei,NA,Metazoa,Labriformes,Chordata,Symphodus melops,Neopterygii,NA,NA,NA,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Symphodus ocellatus,variable,NA,NA,NA,NA,3.48,Symphodus,ocellatus,Symphodus ocellatus,Actinopteri,NA,Labridae,Symphodus,Teleostei,NA,Metazoa,Labriformes,Chordata,Symphodus ocellatus,Neopterygii,NA,NA,NA,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Symphodus tinca,hunting macrofauna (predator),NA,NA,NA,NA,3.25,Symphodus,tinca,Symphodus tinca,Actinopteri,NA,Labridae,Symphodus,Teleostei,NA,Metazoa,Labriformes,Chordata,Symphodus tinca,Neopterygii,NA,NA,NA,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Syngnathus sp.,NA,NA,NA,NA,NA,NA,Syngnathus,,Syngnathus ,Actinopteri,NA,Syngnathidae,Syngnathus,Teleostei,NA,Metazoa,Syngnathiformes,Chordata,NA,Neopterygii,Syngnathinae,NA,Syngnathoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Syngnathus abaster,selective plankton feeding,NA,NA,NA,NA,3.2,Syngnathus,abaster,Syngnathus abaster,Actinopteri,NA,Syngnathidae,Syngnathus,Teleostei,NA,Metazoa,Syngnathiformes,Chordata,Syngnathus abaster,Neopterygii,Syngnathinae,NA,Syngnathoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Syngnathus acus,hunting macrofauna (predator),NA,NA,NA,NA,3.33,Syngnathus,acus,Syngnathus acus,Actinopteri,NA,Syngnathidae,Syngnathus,Teleostei,NA,Metazoa,Syngnathiformes,Chordata,Syngnathus acus,Neopterygii,Syngnathinae,NA,Syngnathoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Syngnathus floridae,hunting macrofauna (predator),NA,NA,NA,NA,3.32,Syngnathus,floridae,Syngnathus floridae,Actinopteri,NA,Syngnathidae,Syngnathus,Teleostei,NA,Metazoa,Syngnathiformes,Chordata,Syngnathus floridae,Neopterygii,Syngnathinae,NA,Syngnathoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Syngnathus leptorhynchus,hunting macrofauna (predator),NA,NA,NA,NA,3.24000001,Syngnathus,leptorhynchus,Syngnathus leptorhynchus,Actinopteri,NA,Syngnathidae,Syngnathus,Teleostei,NA,Metazoa,Syngnathiformes,Chordata,Syngnathus leptorhynchus,Neopterygii,Syngnathinae,NA,Syngnathoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Syngnathus leptorhynchus ,NA,NA,NA,NA,NA,NA,Syngnathus,leptorhynchus ,Syngnathus leptorhynchus ,Actinopteri,NA,Syngnathidae,Syngnathus,Teleostei,NA,Metazoa,Syngnathiformes,Chordata,Syngnathus leptorhynchus,Neopterygii,Syngnathinae,NA,Syngnathoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Syngnathus typhle,selective plankton feeding,NA,NA,NA,NA,4.31,Syngnathus,typhle,Syngnathus typhle,Actinopteri,NA,Syngnathidae,Syngnathus,Teleostei,NA,Metazoa,Syngnathiformes,Chordata,Syngnathus typhle,Neopterygii,Syngnathinae,NA,Syngnathoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Synodus foetens,hunting macrofauna (predator),NA,NA,NA,NA,4.5,Synodus,foetens,Synodus foetens,Actinopteri,NA,Synodontidae,Synodus,Teleostei,NA,Metazoa,Aulopiformes,Chordata,Synodus foetens,Neopterygii,Synodontinae,NA,Aulopoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Synodus myops,hunting macrofauna (predator),NA,NA,NA,NA,4.39,Synodus,myops,Synodus myops,Actinopteri,NA,Synodontidae,Trachinocephalus,Teleostei,NA,Metazoa,Aulopiformes,Chordata,Trachinocephalus myops,Neopterygii,Synodontinae,NA,Aulopoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Takifugu niphobles,NA,NA,NA,NA,NA,3.26,Takifugu,niphobles,Takifugu niphobles,Actinopteri,NA,Tetraodontidae,Takifugu,Teleostei,NA,Metazoa,Tetraodontiformes,Chordata,Takifugu alboplumbeus,Neopterygii,NA,NA,Tetraodontoidei,Craniata,NA,Actinopterygii,Tetradontoidea,Eukaryota,NA,NA
Taurulus bubalis,hunting macrofauna (predator),NA,NA,NA,NA,3.59,Taurulus,bubalis,Taurulus bubalis,Actinopteri,NA,Cottidae,Taurulus,Teleostei,Cottales,Metazoa,Perciformes,Chordata,Taurulus bubalis,Neopterygii,NA,NA,Cottioidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Tetractenos glaber,NA,NA,NA,NA,NA,NA,Tetractenos,glaber,Tetractenos glaber,Actinopteri,NA,Tetraodontidae,Tetractenos,Teleostei,NA,Metazoa,Tetraodontiformes,Chordata,Tetractenos glaber,Neopterygii,NA,NA,Tetraodontoidei,Craniata,NA,Actinopterygii,Tetradontoidea,Eukaryota,NA,NA
Tetractenos hamiltoni,NA,NA,NA,NA,NA,NA,Tetractenos,hamiltoni,Tetractenos hamiltoni,Actinopteri,NA,Tetraodontidae,Tetractenos,Teleostei,NA,Metazoa,Tetraodontiformes,Chordata,Tetractenos hamiltoni,Neopterygii,NA,NA,Tetraodontoidei,Craniata,NA,Actinopterygii,Tetradontoidea,Eukaryota,NA,NA
Torquigener sp.,NA,NA,NA,NA,NA,NA,Torquigener,,Torquigener ,Actinopteri,NA,Tetraodontidae,Torquigener,Teleostei,NA,Metazoa,Tetraodontiformes,Chordata,NA,Neopterygii,NA,NA,Tetraodontoidei,Craniata,NA,Actinopterygii,Tetradontoidea,Eukaryota,NA,NA
Umbrina roncador,hunting macrofauna (predator),NA,NA,NA,NA,3.49,Umbrina,roncador,Umbrina roncador,Actinopteri,NA,Sciaenidae,Umbrina,Teleostei,NA,Metazoa,NA,Chordata,Umbrina roncador,Neopterygii,NA,NA,NA,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Upeneus tragula,hunting macrofauna (predator),NA,NA,NA,NA,3.59,Upeneus,tragula,Upeneus tragula,Actinopteri,NA,Mullidae,Upeneus,Teleostei,NA,Metazoa,Syngnathiformes,Chordata,Upeneus tragula,Neopterygii,NA,NA,Mulloidea,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Urocampus carinirostris,NA,NA,NA,NA,NA,3.02,Urocampus,carinirostris,Urocampus carinirostris,Actinopteri,NA,Syngnathidae,Urocampus,Teleostei,NA,Metazoa,Syngnathiformes,Chordata,Urocampus carinirostris,Neopterygii,Syngnathinae,NA,Syngnathoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Urophycis regia,hunting macrofauna (predator),NA,NA,NA,NA,4.42,Urophycis,regia,Urophycis regia,Actinopteri,NA,Phycidae,Urophycis,Teleostei,NA,Metazoa,Gadiformes,Chordata,Urophycis regia,Neopterygii,NA,NA,Gadoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Xiphister atropurpureus,variable,NA,NA,NA,NA,2.49,Xiphister,atropurpureus,Xiphister atropurpureus,Actinopteri,NA,Stichaeidae,Xiphister,Teleostei,Zoarcales,Metazoa,Perciformes,Chordata,Xiphister atropurpureus,Neopterygii,Xiphisterinae,NA,Cottioidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
Zosterisessor ophiocephalus,hunting macrofauna (predator),NA,NA,NA,NA,3.16,Zosterisessor,ophiocephalus,Zosterisessor ophiocephalus,Actinopteri,NA,Gobiidae,Zosterisessor,Teleostei,NA,Metazoa,Gobiiformes,Chordata,Zosterisessor ophiocephalus,Neopterygii,Gobiinae,NA,Gobioidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
